Uniprot,GO
P05413,GO:0005829;GO:0070062;GO:0005615;GO:0005634;GO:0008092;GO:0036041;GO:0070538;GO:0050873;GO:0042632;GO:0032365;GO:0015909;GO:0008285;GO:0055091;GO:0140214;GO:0071073;GO:0046320;GO:2001245
Q9NP95,GO:0005737;GO:0005576;GO:0005615;GO:0005104;GO:0008083;GO:0043395;GO:0090722;GO:0005102;GO:0007267;GO:0008543;GO:0042491;GO:0043524;GO:0022008;GO:0008284;GO:1904340;GO:0070374;GO:0043410;GO:0060043;GO:0030334;GO:0014059;GO:0007165
Q6ZSG1,GO:0005634;GO:0032991;GO:0061630;GO:0008270;GO:0035136;GO:0060384;GO:0008045;GO:0061061;GO:0030513;GO:0030163;GO:0000209
Q9Y2P4,GO:0005789;GO:0005886;GO:0042383;GO:0047676;GO:0015245;GO:0005324;GO:0004467;GO:0000166;GO:1901480;GO:0031957;GO:0044539;GO:0001676;GO:0015909;GO:0000038
Q9HCS2,GO:0016324;GO:0005737;GO:0005789;GO:0043231;GO:0018685;GO:0008392;GO:0020037;GO:0005506;GO:0050051;GO:0004497;GO:0019369;GO:0019373;GO:0006631;GO:0036101;GO:0001676;GO:0042361;GO:0042376;GO:0003095;GO:0003091;GO:0055078;GO:0000038;GO:0042360;GO:0006805
Q5VSG8,GO:0000139;GO:0004559
Q9NZR2,GO:0005886;GO:0043235;GO:0005509;GO:0005041;GO:0015031;GO:0006898
Q13621,GO:0016324;GO:0070062;GO:0016020;GO:0005886;GO:0008511;GO:0006884;GO:0055064;GO:1902476;GO:0034220;GO:0006811;GO:0055075;GO:1990573;GO:0055078;GO:0035725
Q5VUE5,GO:0005739
Q9UMX3,GO:0033106;GO:0005737;GO:0031901;GO:0005783;GO:0005789;GO:0005794;GO:0016020;GO:0005743;GO:0031966;GO:0005741;GO:0005739;GO:0005640;GO:0005634;GO:0055038;GO:0032588;GO:0051400;GO:0015267;GO:0046982;GO:0042803;GO:0044877;GO:0005102;GO:0031625;GO:0006915;GO:0006921;GO:0097192;GO:0072332;GO:0008630;GO:0008584;GO:0051902;GO:1901029;GO:0060546;GO:0043524;GO:0051402;GO:0048709;GO:0043065;GO:2001056;GO:1902237;GO:1900119;GO:2001244;GO:1901030;GO:1903899;GO:0051259;GO:0010506;GO:1901382;GO:0051480;GO:1904708;GO:0001836
Q53FE4,
Q5T230,GO:0005634;GO:0003713;GO:0008584;GO:0045944;GO:0006357
Q92527,GO:0005813;GO:0005654
